case;GroundTruth_bin;GroundTruth_src;GroundTruth_message;roseau_bin;roseau_src;correct_roseau_bin;correct_roseau_src;roseau_message;japicmp_bin;japicmp_src;correct_japicmp_bin;correct_japicmp_src;japicmp_message;revapi_bin;revapi_src;correct_revapi_bin;correct_revapi_src;revapi_message
otherClazzAdd;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;class added
accessModifierClazzAccessIncrease;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;class added
accessModifierClazzFieldAccessIncreaseNonToProtected;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;visibility increased
membersClazzConstructorParamAdd;true;true;Compiler: compiler.err.cant.apply.symbolsLinker: Exception in thread "main" java.lang.NoSuchMethodError: 'void testing_lib.membersClazzConstructorParamAdd.MembersClazzConstructorParamAdd.<init>(java.lang.Integer)';true;true;true;true;EXECUTABLE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED};true;true;true;true;number of parameters changed
otherIfazeToClass;true;true;Compiler: compiler.err.intf.expected.hereLinker: Error: LinkageError occurred while loading main class otherIfazeToClass.Main;true;true;true;true;TYPE_KIND_CHANGED;true;true;true;true;JApiCompatibilityChange{type=CLASS_TYPE_CHANGED};true;true;true;true;method added, class kind changed, class no longer abstract
accessModifierClazzConstructorAccessDecreasePublicToNon;true;true;Compiler: compiler.err.not.def.public.cant.access, compiler.err.not.def.public.cant.accessLinker: Exception in thread "main" java.lang.IllegalAccessError: class accessModifierClazzConstructorAccessDecreasePublicToNon.Main tried to access method 'void testing_lib.accessModifierClazzConstructorAccessDecreasePublicToNon.AccessModifierClazzConstructorAccessDecreasePublicToNon.<init>()' (accessModifierClazzConstructorAccessDecreasePublicToNon.Main and testing_lib.accessModifierClazzConstructorAccessDecreasePublicToNon.AccessModifierClazzConstructorAccessDecreasePublicToNon are in unnamed module of loader 'app');true;true;true;true;CLASS_NOW_ABSTRACT, CLASS_NOW_FINAL, EXECUTABLE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_LESS_ACCESSIBLE};true;true;true;true;visibility reduced
otherClazzDelete;true;true;Compiler: compiler.err.doesnt.exist, compiler.err.cant.resolve.location, compiler.err.cant.resolve.locationLinker: Exception in thread "main" java.lang.NoClassDefFoundError: testing_lib/otherClazzDelete/OtherClazzDelete;true;true;true;true;TYPE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED}, JApiCompatibilityChange{type=SUPERCLASS_REMOVED}, JApiCompatibilityChange{type=CLASS_REMOVED};true;true;true;true;class removed
accessModifierClazzConstructorAccessIncreaseProtectedToPublic;false;false;;false;false;true;true;;false;false;true;true;;false;true;true;false;visibility increased
accessModifierClazzConstructorAccessDecreaseNonToPrivate;false;false;;false;false;true;true;;true;true;false;false;JApiCompatibilityChange{type=CONSTRUCTOR_LESS_ACCESSIBLE}, JApiCompatibilityChange{type=CLASS_NOW_NOT_EXTENDABLE};false;false;true;true;
inheritanceClazzStartInherite;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=SUPERCLASS_ADDED};true;true;false;false;new super class of non-final class
inheritanceIfazeExpandSuperinterfaceSet;false;true;Compiler: compiler.err.does.not.override.abstract;false;true;true;true;TYPE_NEW_ABSTRACT_METHOD;false;false;true;false;JApiCompatibilityChange{type=INTERFACE_ADDED}, JApiCompatibilityChange{type=INTERFACE_ADDED};false;false;true;false;class added
